cycle,voltage,current,temperature,true_soc
189,13.199,-12.892,27.98,94.84
190,13.129,-12.769,27.99,94.81
191,13.242,-10.426,28.0,94.79
192,13.227,-11.696,28.01,94.77
193,13.193,-11.305,28.02,94.75
194,13.275,-10.855,28.03,94.73
195,13.033,-14.262,28.05,94.7
196,13.209,-11.831,28.06,94.67
197,13.052,-14.724,28.07,94.64
198,13.204,-11.409,28.09,94.62
199,13.162,-12.493,28.1,94.6
200,11.53,-45.54,28.14,94.51
201,11.406,-46.498,28.19,94.41
202,11.238,-49.778,28.24,94.31
203,11.687,-42.129,28.28,94.23
204,11.32,-49.277,28.33,94.13
205,11.242,-49.768,28.38,94.03
206,11.658,-41.597,28.42,93.95
207,11.484,-45.41,28.47,93.86
208,11.282,-49.545,28.52,93.76
209,11.569,-42.967,28.56,93.67
210,13.088,-13.602,28.57,93.64
211,13.133,-12.144,28.59,93.62
212,13.154,-12.33,28.6,93.6
213,13.197,-11.413,28.61,93.57
214,13.099,-13.645,28.62,93.55
215,13.006,-14.887,28.64,93.52
216,13.04,-13.679,28.65,93.49
217,13.171,-11.918,28.66,93.46
218,13.106,-13.05,28.68,93.44
219,13.082,-12.363,28.69,93.41
220,13.219,-10.672,28.7,93.39
221,13.14,-12.363,28.71,93.37
222,12.97,-14.619,28.73,93.34
223,12.977,-14.172,28.74,93.31
224,13.159,-12.157,28.75,93.29
225,13.175,-11.42,28.76,93.26
226,13.181,-11.834,28.78,93.24
227,13.132,-12.794,28.79,93.21
228,13.182,-10.461,28.8,93.19
229,13.208,-10.304,28.81,93.17
230,13.078,-13.184,28.82,93.15
231,13.032,-14.146,28.84,93.12
232,13.095,-11.987,28.85,93.09
233,13.092,-11.877,28.86,93.07
234,13.128,-11.17,28.87,93.05
235,13.091,-11.892,28.88,93.02
236,13.049,-12.929,28.9,93.0
237,13.09,-13.542,28.91,92.97
238,13.121,-12.405,28.92,92.95
239,13.017,-14.369,28.94,92.92
240,13.078,-12.417,28.95,92.89
241,12.992,-14.065,28.96,92.86
242,13.058,-12.321,28.98,92.84
243,12.968,-14.767,28.99,92.81
244,13.1,-12.871,29.0,92.78
245,13.146,-11.886,29.02,92.76
246,13.116,-12.843,29.03,92.73
247,12.992,-14.157,29.04,92.71
248,13.13,-12.069,29.06,92.68
249,13.044,-14.082,29.07,92.65
250,13.156,-10.385,29.08,92.63
251,13.118,-11.689,29.09,92.61
252,13.109,-11.505,29.1,92.59
253,12.96,-14.301,29.12,92.56
254,13.041,-14.103,29.13,92.53
255,12.92,-14.981,29.15,92.5
256,13.13,-11.308,29.16,92.48
257,12.957,-14.437,29.17,92.45
258,12.96,-14.602,29.19,92.42
259,13.079,-13.06,29.2,92.39
260,13.07,-13.079,29.21,92.37
261,13.185,-10.859,29.22,92.35
262,13.098,-12.493,29.24,92.32
263,13.055,-12.008,29.25,92.3
264,12.942,-14.677,29.26,92.27
265,12.981,-13.284,29.28,92.24
266,13.164,-11.038,29.29,92.22
267,12.991,-13.952,29.3,92.19
268,13.056,-12.403,29.31,92.17
269,13.173,-10.16,29.32,92.15
270,13.103,-11.323,29.33,92.12
271,12.982,-13.774,29.35,92.1
272,12.949,-13.696,29.36,92.07
273,13.207,-10.492,29.37,92.05
274,13.035,-13.536,29.39,92.02
275,13.024,-13.992,29.4,91.99
276,13.108,-11.369,29.41,91.97
277,13.142,-11.576,29.42,91.95
278,12.919,-14.693,29.44,91.92
279,13.059,-12.848,29.45,91.89
280,13.061,-12.451,29.46,91.87
281,13.2,-10.134,29.47,91.85
282,13.135,-11.535,29.49,91.82
283,12.988,-12.798,29.5,91.8
284,13.098,-12.104,29.51,91.77
285,13.115,-10.746,29.52,91.75
286,13.058,-12.459,29.53,91.73
287,13.056,-11.332,29.54,91.7
288,12.972,-13.064,29.56,91.68
289,13.02,-12.106,29.57,91.65
290,13.004,-13.971,29.58,91.63
291,13.123,-10.502,29.59,91.6
292,12.927,-14.288,29.61,91.58
293,12.969,-14.595,29.62,91.55
294,13.105,-10.455,29.63,91.53
295,13.158,-10.097,29.64,91.51
296,12.953,-14.444,29.66,91.48
297,13.0,-13.222,29.67,91.45
298,13.101,-11.41,29.68,91.43
299,12.895,-14.955,29.7,91.4
300,11.577,-41.269,29.74,91.31
301,11.418,-43.718,29.78,91.23
302,11.379,-46.133,29.83,91.14
303,11.449,-43.335,29.87,91.05
304,11.272,-47.236,29.92,90.95
305,11.322,-46.183,29.97,90.86
306,11.189,-48.646,30.01,90.76
307,11.472,-43.501,30.06,90.68
308,11.615,-40.057,30.1,90.6
309,11.084,-49.933,30.15,90.5
310,14.135,10.645,30.16,90.52
311,13.995,7.171,30.17,90.53
312,13.971,6.236,30.17,90.55
313,14.214,11.188,30.18,90.57
314,14.307,13.634,30.2,90.59
315,13.102,-10.783,30.21,90.57
316,13.01,-13.159,30.22,90.55
317,13.03,-12.701,30.23,90.52
318,13.032,-11.894,30.25,90.5
319,13.063,-10.585,30.26,90.48
320,13.076,-11.358,30.27,90.45
321,12.884,-14.838,30.28,90.42
322,12.899,-13.353,30.3,90.4
323,12.933,-13.026,30.31,90.37
324,12.941,-12.591,30.32,90.35
325,13.064,-11.618,30.33,90.32
326,13.081,-10.723,30.34,90.3
327,13.049,-10.553,30.35,90.28
328,13.008,-11.8,30.37,90.26
329,12.92,-13.826,30.38,90.23
330,12.944,-12.492,30.39,90.2
331,13.072,-10.716,30.4,90.18
332,12.988,-13.061,30.42,90.16
333,12.86,-14.552,30.43,90.13
334,13.035,-10.659,30.44,90.11
335,13.022,-11.834,30.45,90.08
336,12.937,-13.412,30.47,90.06
337,12.992,-12.565,30.48,90.03
338,12.969,-11.657,30.49,90.01
339,12.985,-11.379,30.5,89.98
340,12.981,-13.308,30.51,89.96
341,13.137,-10.194,30.53,89.94
342,12.991,-12.964,30.54,89.91
343,13.038,-11.522,30.55,89.89
344,13.035,-10.486,30.56,89.87
345,13.014,-10.882,30.57,89.85
346,13.029,-10.691,30.58,89.82
347,13.044,-11.788,30.59,89.8
348,12.91,-13.918,30.61,89.77
349,12.943,-13.368,30.62,89.75
350,12.906,-13.028,30.63,89.72
351,12.919,-12.821,30.65,89.69
352,12.852,-14.708,30.66,89.67
353,13.059,-11.407,30.67,89.64
354,13.032,-11.292,30.68,89.62
355,12.941,-13.134,30.7,89.59
356,13.054,-10.359,30.71,89.57
357,12.913,-13.325,30.72,89.55
358,12.957,-11.786,30.73,89.52
359,13.105,-10.055,30.74,89.5
360,12.959,-11.52,30.75,89.48
361,13.006,-11.951,30.77,89.46
362,12.934,-13.422,30.78,89.43
363,12.957,-12.551,30.79,89.4
364,12.828,-14.488,30.81,89.37
365,12.921,-13.907,30.82,89.35
366,12.804,-14.622,30.84,89.32
367,12.908,-13.983,30.85,89.29
368,13.102,-10.211,30.86,89.27
369,12.987,-11.134,30.87,89.25
370,12.876,-13.367,30.88,89.22
371,12.904,-13.835,30.9,89.19
372,12.864,-13.072,30.91,89.17
373,12.995,-12.309,30.92,89.14
374,12.916,-12.315,30.94,89.12
375,12.883,-14.04,30.95,89.09
376,12.876,-13.487,30.96,89.06
377,12.994,-11.217,30.97,89.04
378,12.911,-13.554,30.99,89.01
379,12.869,-13.962,31.0,88.98
380,12.853,-14.561,31.02,88.96
381,12.922,-13.63,31.03,88.93
382,13.031,-11.465,31.04,88.91
383,12.874,-12.736,31.05,88.88
384,12.931,-11.881,31.07,88.86
385,13.008,-10.98,31.08,88.83
386,12.971,-10.869,31.09,88.81
387,12.952,-12.538,31.1,88.79
388,12.824,-14.986,31.12,88.76
389,12.952,-12.132,31.13,88.73
390,13.02,-10.09,31.14,88.71
391,12.852,-13.811,31.15,88.69
392,12.926,-12.92,31.16,88.66
393,12.84,-14.264,31.18,88.63
394,13.006,-11.52,31.19,88.61
395,12.792,-14.989,31.21,88.58
396,12.89,-12.123,31.22,88.55
397,12.843,-13.293,31.23,88.53
398,12.936,-11.655,31.24,88.5
399,12.847,-13.502,31.26,88.48
400,11.292,-44.167,31.3,88.39
401,11.202,-45.763,31.35,88.3
402,11.329,-44.649,31.39,88.21
403,11.425,-41.657,31.43,88.12
404,11.483,-40.535,31.47,88.04
405,11.346,-44.36,31.52,87.95
406,11.05,-48.724,31.57,87.86
407,11.323,-43.498,31.61,87.77
408,11.475,-40.291,31.65,87.69
409,11.383,-41.548,31.69,87.61
410,12.972,-11.219,31.7,87.58
411,12.77,-13.721,31.72,87.56
412,12.736,-14.909,31.73,87.53
413,12.963,-10.734,31.74,87.51
414,12.754,-14.209,31.76,87.48
415,12.911,-12.14,31.77,87.45
416,12.774,-14.622,31.78,87.42
417,12.888,-11.795,31.79,87.4
418,12.931,-10.97,31.81,87.38
419,12.779,-13.561,31.82,87.35
420,12.789,-13.261,31.83,87.32
421,12.846,-12.857,31.84,87.3
422,12.911,-10.872,31.86,87.28
423,12.733,-14.276,31.87,87.25
424,12.899,-11.6,31.88,87.22
425,12.792,-14.224,31.9,87.2
426,12.918,-10.527,31.91,87.18
427,12.813,-14.384,31.92,87.15
428,12.845,-11.88,31.93,87.12
429,12.804,-14.447,31.95,87.09
430,12.763,-14.535,31.96,87.07
431,12.819,-13.458,31.97,87.04
432,12.989,-10.149,31.99,87.02
433,12.942,-10.426,32.0,87.0
434,12.866,-11.486,32.01,86.97
435,12.787,-13.236,32.02,86.95
436,12.843,-12.927,32.03,86.92
437,12.806,-13.085,32.05,86.9
438,12.957,-10.371,32.06,86.87
439,12.912,-10.311,32.07,86.85
440,12.861,-11.648,32.08,86.83
441,12.767,-14.946,32.09,86.8
442,12.765,-14.699,32.11,86.77
443,12.953,-11.3,32.12,86.75
444,12.848,-11.573,32.13,86.73
445,12.772,-13.269,32.14,86.7
446,12.791,-12.653,32.16,86.67
447,12.764,-14.422,32.17,86.65
448,12.792,-13.059,32.18,86.62
449,12.939,-11.371,32.2,86.6
450,14.145,13.466,32.21,86.62
451,13.932,9.54,32.22,86.64
452,14.049,11.483,32.23,86.67
453,13.788,5.787,32.24,86.68
454,13.797,7.357,32.24,86.69
455,14.18,14.017,32.26,86.72
456,14.02,11.951,32.27,86.74
457,13.953,9.399,32.28,86.76
458,13.838,7.751,32.29,86.78
459,13.718,5.482,32.29,86.79
460,14.224,14.214,32.31,86.82
461,13.808,5.81,32.31,86.83
462,13.736,5.361,32.32,86.84
463,14.068,12.529,32.33,86.86
464,13.977,9.591,32.34,86.88
465,12.84,-13.113,32.35,86.86
466,12.815,-12.463,32.37,86.83
467,12.856,-13.03,32.38,86.81
468,12.816,-13.025,32.39,86.78
469,12.774,-14.554,32.41,86.75
470,12.864,-11.109,32.42,86.73
471,12.72,-14.196,32.43,86.7
472,12.916,-11.356,32.44,86.68
473,12.904,-12.073,32.45,86.65
474,12.836,-12.718,32.47,86.63
475,12.787,-13.173,32.48,86.6
476,12.809,-13.484,32.49,86.58
477,12.866,-12.275,32.51,86.55
478,12.727,-14.476,32.52,86.52
479,12.861,-12.84,32.53,86.5
480,12.877,-11.656,32.55,86.47
481,12.694,-14.967,32.56,86.44
482,12.908,-10.619,32.57,86.42
483,12.874,-11.376,32.58,86.4
484,12.782,-14.223,32.6,86.37
485,12.716,-13.792,32.61,86.34
486,12.923,-10.324,32.62,86.32
487,12.796,-13.657,32.63,86.29
488,12.745,-14.76,32.65,86.27
489,12.826,-12.693,32.66,86.24
490,12.71,-14.479,32.68,86.21
491,12.803,-13.688,32.69,86.18
492,12.959,-10.705,32.7,86.16
493,12.748,-14.524,32.71,86.13
494,12.722,-13.919,32.73,86.11
495,12.79,-13.827,32.74,86.08
496,12.741,-14.909,32.76,86.05
497,12.813,-11.566,32.77,86.02
498,12.74,-13.395,32.78,86.0
499,12.71,-14.97,32.8,85.97
500,11.334,-41.988,32.84,85.88
501,11.007,-47.616,32.89,85.79
502,11.271,-42.792,32.93,85.7
503,11.223,-43.326,32.97,85.62
504,11.185,-45.583,33.02,85.53
505,11.395,-41.307,33.06,85.44
506,11.247,-43.446,33.1,85.36
507,11.058,-47.663,33.15,85.26
508,11.121,-45.737,33.2,85.17
509,11.062,-46.049,33.24,85.08
510,12.833,-11.014,33.25,85.05
511,12.84,-11.97,33.27,85.03
512,12.705,-12.983,33.28,85.0
513,12.733,-14.048,33.29,84.98
514,12.889,-11.168,33.3,84.95
515,12.85,-11.872,33.32,84.93
516,12.822,-12.264,33.33,84.91
517,12.867,-10.133,33.34,84.89
518,12.832,-10.265,33.35,84.87
519,12.793,-12.275,33.36,84.84
520,12.654,-14.488,33.38,84.81
521,12.872,-11.002,33.39,84.79
522,12.809,-11.886,33.4,84.77
523,12.745,-12.244,33.41,84.74
524,12.862,-10.641,33.42,84.72
525,12.822,-10.719,33.43,84.7
526,12.778,-12.344,33.44,84.67
527,12.661,-13.778,33.46,84.65
528,12.698,-14.451,33.47,84.62
529,12.651,-14.135,33.49,84.59
530,12.755,-12.684,33.5,84.56
531,12.627,-14.717,33.51,84.53
532,12.79,-11.551,33.53,84.51
533,12.904,-10.296,33.54,84.49
534,12.869,-10.936,33.55,84.47
535,12.732,-13.839,33.56,84.44
536,12.689,-13.752,33.57,84.41
537,12.626,-14.518,33.59,84.38
538,12.77,-11.988,33.6,84.36
539,12.76,-12.616,33.61,84.34
540,12.673,-13.482,33.63,84.31
541,12.747,-12.455,33.64,84.28
542,12.643,-14.92,33.65,84.25
543,12.641,-14.615,33.67,84.22
544,12.641,-13.902,33.68,84.2
545,12.707,-12.885,33.7,84.17
546,12.622,-14.171,33.71,84.14
547,12.837,-11.502,33.72,84.12
548,12.758,-11.215,33.73,84.1
549,12.707,-12.708,33.75,84.07
550,12.611,-14.293,33.76,84.04
551,12.669,-13.45,33.77,84.02
552,12.71,-13.798,33.79,83.99
553,12.843,-10.103,33.8,83.97
554,12.604,-14.783,33.81,83.94
555,12.825,-10.7,33.82,83.92
556,12.864,-10.613,33.83,83.9
557,12.737,-12.326,33.85,83.87
558,12.756,-11.683,33.86,83.85
559,12.672,-13.964,33.87,83.82
560,12.615,-14.856,33.89,83.79
561,12.718,-12.775,33.9,83.77
562,12.615,-14.48,33.91,83.74
563,12.661,-13.424,33.93,83.71
564,12.766,-12.393,33.94,83.68
565,12.824,-11.44,33.95,83.66
566,12.623,-14.935,33.97,83.63
567,12.773,-11.699,33.98,83.61
568,12.78,-11.861,33.99,83.58
569,12.734,-11.442,34.0,83.56
570,12.829,-10.986,34.01,83.54
571,12.781,-10.601,34.02,83.52
572,12.591,-14.722,34.04,83.49
573,12.654,-14.111,34.05,83.46
574,12.585,-14.049,34.06,83.43
575,12.797,-11.218,34.08,83.41
576,12.73,-12.648,34.09,83.39
577,12.69,-13.064,34.1,83.36
578,12.73,-12.257,34.11,83.33
579,12.747,-11.672,34.13,83.31
580,12.611,-13.426,34.14,83.28
581,12.776,-11.785,34.15,83.26
582,12.74,-11.412,34.16,83.24
583,12.658,-13.446,34.18,83.21
584,12.727,-12.665,34.19,83.19
585,12.8,-11.477,34.2,83.16
586,12.669,-14.075,34.21,83.13
587,12.803,-10.101,34.22,83.11
588,12.76,-10.465,34.23,83.09
589,12.77,-10.426,34.25,83.07
590,12.786,-10.992,34.26,83.05
591,12.76,-11.963,34.27,83.03
592,12.771,-10.469,34.28,83.01
593,12.677,-13.036,34.29,82.98
594,12.612,-14.663,34.31,82.95
595,12.756,-12.008,34.32,82.93
596,12.782,-10.548,34.33,82.91
597,12.624,-14.44,34.34,82.88
598,12.663,-13.473,34.36,82.85
599,12.662,-12.097,34.37,82.83
600,11.123,-44.424,34.41,82.74
601,11.34,-40.008,34.45,82.66
602,11.021,-44.973,34.5,82.57
603,10.957,-47.732,34.55,82.47
604,10.929,-46.938,34.59,82.38
605,10.949,-46.905,34.64,82.28
606,10.997,-45.312,34.69,82.19
607,11.141,-42.116,34.73,82.11
608,10.801,-49.053,34.78,82.01
609,10.861,-47.904,34.82,81.91
610,13.836,11.771,34.84,81.94
611,13.812,9.699,34.85,81.96
612,13.955,13.696,34.86,81.98
613,13.639,7.496,34.87,82.0
614,13.841,10.66,34.88,82.02
615,12.566,-14.658,34.89,81.99
616,12.507,-14.717,34.91,81.96
617,12.487,-14.918,34.92,81.93
618,12.59,-13.194,34.93,81.91
619,12.79,-10.245,34.95,81.89
620,12.67,-12.716,34.96,81.86
621,12.646,-12.059,34.97,81.84
622,12.561,-14.956,34.98,81.81
623,12.593,-12.824,35.0,81.78
624,12.56,-13.882,35.01,81.75
625,12.707,-11.805,35.02,81.73
626,12.513,-14.322,35.04,81.7
627,12.654,-12.059,35.05,81.68
628,12.652,-11.331,35.06,81.65
629,12.78,-10.583,35.07,81.63
630,12.671,-12.025,35.08,81.61
631,12.59,-14.375,35.1,81.58
632,12.705,-10.431,35.11,81.56
633,12.661,-11.224,35.12,81.54
634,12.684,-11.938,35.13,81.51
635,12.562,-14.556,35.15,81.48
636,12.694,-10.936,35.16,81.46
637,12.706,-11.632,35.17,81.44
638,12.611,-12.605,35.18,81.41
639,12.709,-11.639,35.19,81.39
640,12.707,-11.385,35.2,81.37
641,12.592,-13.279,35.22,81.34
642,12.561,-13.747,35.23,81.31
643,12.705,-10.785,35.24,81.29
644,12.457,-14.975,35.26,81.26
645,12.687,-12.248,35.27,81.24
646,12.509,-14.133,35.28,81.21
647,12.63,-12.983,35.3,81.18
648,12.693,-10.975,35.31,81.16
649,12.773,-10.068,35.32,81.14
650,12.703,-11.215,35.33,81.12
651,12.523,-14.822,35.34,81.09
652,12.687,-11.872,35.36,81.07
653,12.529,-13.626,35.37,81.04
654,12.589,-12.49,35.38,81.01
655,12.524,-13.654,35.4,80.99
656,12.769,-10.02,35.41,80.97
657,12.521,-14.205,35.42,80.94
658,12.543,-14.589,35.43,80.91
659,12.641,-11.166,35.45,80.89
660,12.494,-14.219,35.46,80.86
661,12.688,-11.483,35.47,80.83
662,12.529,-13.69,35.48,80.81
663,12.737,-10.67,35.5,80.79
664,12.693,-11.439,35.51,80.76
665,12.608,-13.138,35.52,80.74
666,12.503,-13.888,35.53,80.71
667,12.529,-14.292,35.55,80.68
668,12.479,-14.882,35.56,80.65
669,12.52,-13.755,35.58,80.62
670,12.62,-12.0,35.59,80.6
671,12.647,-11.361,35.6,80.58
672,12.493,-14.761,35.61,80.55
673,12.543,-13.163,35.63,80.52
674,12.497,-13.54,35.64,80.49
675,12.613,-11.674,35.65,80.47
676,12.451,-14.816,35.67,80.44
677,12.539,-14.211,35.68,80.41
678,12.577,-13.527,35.7,80.38
679,12.698,-11.217,35.71,80.36
680,12.453,-14.497,35.72,80.33
681,12.671,-11.431,35.73,80.31
682,12.666,-11.179,35.74,80.29
683,12.523,-14.038,35.76,80.26
684,12.671,-10.564,35.77,80.24
685,12.632,-12.386,35.78,80.21
686,12.573,-12.201,35.79,80.19
687,12.458,-14.385,35.81,80.16
688,12.562,-12.372,35.82,80.14
689,12.714,-10.475,35.83,80.12
690,12.548,-12.309,35.84,80.09
691,12.583,-12.799,35.86,80.06
692,12.644,-11.432,35.87,80.04
693,12.478,-14.437,35.88,80.01
694,12.632,-11.885,35.89,79.99
695,12.538,-13.237,35.91,79.96
696,12.549,-13.332,35.92,79.94
697,12.517,-14.085,35.93,79.91
698,12.557,-12.344,35.95,79.88
699,12.547,-12.054,35.96,79.86
700,10.848,-46.544,36.01,79.77
701,11.092,-41.318,36.05,79.68
702,10.821,-46.833,36.09,79.59
703,10.858,-46.512,36.14,79.5
704,11.077,-42.089,36.18,79.41
705,10.731,-49.398,36.23,79.31
706,11.091,-42.487,36.27,79.23
707,10.981,-44.472,36.32,79.14
708,10.654,-49.226,36.37,79.04
709,10.735,-48.253,36.42,78.94
710,12.525,-12.301,36.43,78.92
711,12.4,-14.534,36.44,78.89
712,12.578,-12.328,36.45,78.87
713,12.492,-13.687,36.47,78.84
714,12.58,-11.936,36.48,78.82
715,12.439,-13.646,36.49,78.79
716,12.61,-10.659,36.5,78.77
717,12.614,-10.881,36.52,78.74
718,12.456,-13.349,36.53,78.72
719,12.557,-12.307,36.54,78.69
720,12.609,-10.594,36.55,78.67
721,12.51,-13.193,36.57,78.65
722,12.446,-13.019,36.58,78.62
723,12.55,-11.917,36.59,78.6
724,12.521,-11.701,36.6,78.57
725,12.4,-13.952,36.62,78.54
726,12.425,-13.988,36.63,78.52
727,12.45,-14.101,36.64,78.49
728,12.452,-12.994,36.66,78.46
729,12.391,-13.945,36.67,78.43
730,12.467,-13.049,36.68,78.41
731,12.606,-10.907,36.69,78.39
732,12.399,-14.961,36.71,78.36
733,12.567,-10.4,36.72,78.34
734,12.56,-11.413,36.73,78.31
735,12.425,-14.239,36.75,78.28
736,12.629,-10.689,36.76,78.26
737,12.45,-13.031,36.77,78.24
